method,alpha,k,rmse,target_movie_id,n_users
genre_only,0.0,5,1.140701,25,980
genre_only,0.0,10,1.106281,25,980
genre_only,0.0,20,1.085278,25,980
genre_only,0.0,40,1.069234,25,980
hybrid,0.25,5,1.071190,25,980
hybrid,0.25,10,1.049948,25,980
hybrid,0.25,20,1.055102,25,980
hybrid,0.25,40,1.046980,25,980
hybrid,0.5,5,1.059885,25,980
hybrid,0.5,10,1.037081,25,980
hybrid,0.5,20,1.039256,25,980
hybrid,0.5,40,1.027100,25,980
hybrid,0.75,5,0.972120,25,980
hybrid,0.75,10,0.971694,25,980
hybrid,0.75,20,0.972419,25,980
hybrid,0.75,40,0.987058,25,980
rating_only,1.0,5,0.940151,25,980
rating_only,1.0,10,0.924768,25,980
rating_only,1.0,20,0.940991,25,980
rating_only,1.0,40,0.961342,25,980

